doc_id	jurisdiction	source_url	source_basename	is_synth	file	text_file	page_count
sweden--synthesizedtextforjapan-swedenjp	Sweden	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan-SwedenJP.pdf	SynthesizedTextforJapan-SwedenJP.pdf	True	source/raw/sweden--synthesizedtextforjapan-swedenjp.pdf	source/text/sweden--synthesizedtextforjapan-swedenjp.txt	30
sweden--sweden1999-p-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1999_P_jp_en.pdf	Sweden1999_P_jp_en.pdf	False	source/raw/sweden--sweden1999-p-jp-en.pdf	source/text/sweden--sweden1999-p-jp-en.txt	9
switzerland--switzerland1971-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland1971_jp_en.pdf	Switzerland1971_jp_en.pdf	False	source/raw/switzerland--switzerland1971-jp-en.pdf	source/text/switzerland--switzerland1971-jp-en.txt	43
switzerland--switzerland-st-jp	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland_ST_jp.pdf	Switzerland_ST_jp.pdf	True	source/raw/switzerland--switzerland-st-jp.pdf	source/text/switzerland--switzerland-st-jp.txt	60
switzerland--switzerland2012-en-jp	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_jp.pdf	Switzerland2012_EN_jp.pdf	False	source/raw/switzerland--switzerland2012-en-jp.pdf	source/text/switzerland--switzerland2012-en-jp.txt	4
switzerland--switzerland2012-en-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_jp_en.pdf	Switzerland2012_EN_jp_en.pdf	False	source/raw/switzerland--switzerland2012-en-jp-en.pdf	source/text/switzerland--switzerland2012-en-jp-en.txt	4
switzerland--switzerland2012-en-eoi-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_EOI_jp_en.pdf	Switzerland2012_EN_EOI_jp_en.pdf	False	source/raw/switzerland--switzerland2012-en-eoi-jp-en.pdf	source/text/switzerland--switzerland2012-en-eoi-jp-en.txt	4
thailand--thailand1990-jp-en	Thailand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Thailand1990_jp_en.pdf	Thailand1990_jp_en.pdf	False	source/raw/thailand--thailand1990-jp-en.pdf	source/text/thailand--thailand1990-jp-en.txt	39
thailand--synthesizedtextforjapan-thailand-jp	Thailand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Thailand_JP.pdf	SynthesizedTextforJapan_Thailand_JP.pdf	True	source/raw/thailand--synthesizedtextforjapan-thailand-jp.pdf	source/text/thailand--synthesizedtextforjapan-thailand-jp.txt	26
united-arab-emirates--250502ae-a	United Arab Emirates	https://www.mof.go.jp/tax_policy/summary/international/press_release/250502ae_a.pdf	250502ae_a.pdf	False	source/raw/united-arab-emirates--250502ae-a.pdf	source/text/united-arab-emirates--250502ae-a.txt	45
united-arab-emirates--20141125ae-c	United Arab Emirates	http://www.mof.go.jp/tax_policy/summary/international/press_release/20141125ae_c.pdf	20141125ae_c.pdf	False	source/raw/united-arab-emirates--20141125ae-c.pdf	source/text/united-arab-emirates--20141125ae-c.txt	4
united-arab-emirates--20190716	United Arab Emirates	http://www.mof.go.jp/tax_policy/summary/international/press_release/20190716.pdf	20190716.pdf	False	source/raw/united-arab-emirates--20190716.pdf	source/text/united-arab-emirates--20190716.txt	26
united-kingdom--synthesizedtextforjapan-unitedkingdom-jp	United Kingdom	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_UnitedKingdom_JP.pdf	SynthesizedTextforJapan_UnitedKingdom_JP.pdf	True	source/raw/united-kingdom--synthesizedtextforjapan-unitedkingdom-jp.pdf	source/text/united-kingdom--synthesizedtextforjapan-unitedkingdom-jp.txt	39
united-states--usa-st-jp	United States	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/USA_ST_jp.pdf	USA_ST_jp.pdf	True	source/raw/united-states--usa-st-jp.pdf	source/text/united-states--usa-st-jp.txt	87
viet-nam--vietnam1995-jp-en	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Vietnam1995_jp_en.pdf	Vietnam1995_jp_en.pdf	False	source/raw/viet-nam--vietnam1995-jp-en.pdf	source/text/viet-nam--vietnam1995-jp-en.txt	48
viet-nam--vietnam2014-en-jp-en	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Vietnam2014_EN_jp_en.pdf	Vietnam2014_EN_jp_en.pdf	False	source/raw/viet-nam--vietnam2014-en-jp-en.pdf	source/text/viet-nam--vietnam2014-en-jp-en.txt	5
viet-nam--synthesizedtextforjapan-vietnam-jp	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_VietNam_JP.pdf	SynthesizedTextforJapan_VietNam_JP.pdf	True	source/raw/viet-nam--synthesizedtextforjapan-vietnam-jp.pdf	source/text/viet-nam--synthesizedtextforjapan-vietnam-jp.txt	27
